23.07.2022, 10:25:24;26;174;13
23.07.2022, 10:50:08;36;164;18
23.07.2022, 11:05:49;51;149;26
23.07.2022, 11:30:37;58;142;29
23.07.2022, 11:45:11;59;141;30
23.07.2022, 11:55:53;66;134;33
23.07.2022, 12:25:18;71;129;36
23.07.2022, 12:45:55;63;137;32
23.07.2022, 12:55:31;59;141;30
23.07.2022, 13:20:12;49;151;24
23.07.2022, 13:35:54;41;159;20
23.07.2022, 13:45:43;33;167;16
23.07.2022, 14:15:02;26;174;13
23.07.2022, 14:55:54;25;175;12
23.07.2022, 15:30:32;22;178;11
23.07.2022, 15:45:16;21;179;10
23.07.2022, 16:05:24;22;178;11
23.07.2022, 16:25:04;23;177;12
23.07.2022, 16:40:48;24;176;12
23.07.2022, 16:55:46;25;175;12
23.07.2022, 17:25:00;33;167;16
23.07.2022, 17:40:46;30;170;15
23.07.2022, 17:55:36;35;165;18
23.07.2022, 18:30:32;31;169;16
23.07.2022, 18:55:56;24;176;12
